OBJECTID,plz,einwohner,SHAPE_Length,SHAPE_Area
5209,74930,2373,27063.22419,33041850.12
5210,74229,5910,43098.31644,49790256.49
5211,74259,1821,44727.64108,59647153.76
5212,74251,2212,19684.15981,14504087.28
5213,74369,5486,26856.26926,25386347.73
5214,74861,5075,53501.45042,77427615.15
5215,74189,11163,60213.2781,52876942.12
5216,74172,25559,65658.59788,58424230.37
5217,74357,7130,56381.57028,46800759.9
5218,74388,4830,33459.99213,27037789.28
5219,74906,20039,99305.46807,172339122.4
5220,74232,4421,29541.11656,20619398.56
5221,74252,3389,22080.40689,20563326.38
5222,74360,8668,54120.97335,61603606.41
5223,74193,10820,77147.0496,115553335
5224,74078,23308,60551.84651,98757130.72
5225,74343,17208,80159.63037,134457151.3
5226,74389,2670,38290.90043,39721447.42
5227,74376,3904,24419.14553,18902669.89
5228,74223,6454,23036.80733,19796762.99
5229,74219,7783,64895.42418,116517330
5230,74248,3360,22649.93717,12734164.26
5231,74363,6042,38915.83081,37831396.69
5232,74936,1627,18588.15309,18089329.24
5233,74239,3955,47503.08857,83396976.95
5234,74080,20862,27833.15241,26449958.94
5235,74348,10846,42609.41754,49138932.47
5236,74382,3435,33918.76244,32618651.36
5237,74379,6039,29743.39371,26796492.02
5238,74226,7567,31379.50708,29589519.47
5239,74206,6766,35657.25712,45387102.65
5240,74249,1627,37147.19348,41218115.65
5241,74394,2296,18083.75181,11692339.72
5242,74243,3660,41863.91822,56183806.04
5243,74074,21676,36696.72536,36739842.3
5244,74321,41471,51423.73104,73096526.95
5245,74072,16080,13919.43592,6277259.85
5246,74385,6227,20702.95627,20544237.83
5247,74372,5295,23162.48197,26578071.29
5248,74211,10845,44042.03316,54803768.74
5249,74177,18091,53096.2129,57905069.23
5250,74245,3120,49035.57205,51113728.8
5251,74395,3208,29555.07032,23244828.35
5252,71069,16506,64102.4533,42198119.95
5253,71063,12307,34167.52943,15813938.16
5254,71067,16217,38128.01827,17570974.94
5255,71065,15504,42319.59,41096515.54
5256,79837,5386,146083.1015,187989287
